name,category,original_price,discounted_price,discount_percentage,platform
Dove Super Conditioner Intensive Hair Fall Treat 170mL,Kondisioner dan Masker,32.100,32.100,0%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Menthol Segar 400mL,Shampoo,67.600,67.600,0%,www.klikindomaret.com
Dove Serum Shampoo Perawatan Rambut Rontok 135mL,Shampoo,Rp 25.500,20.100,21%,www.klikindomaret.com
Dove Serum Shampoo Perawatan Rambut Rontok 290mL,Shampoo,Rp 48.500,38.100,21%,www.klikindomaret.com
Sunsilk Vitamin Hair Mist 3 In 1 40Ml,Vitamin Rambut,16.300,16.300,0%,www.klikindomaret.com
Dove Serum Shampoo Total Hair Fall 680mL,Shampoo,87.000,87.000,0%,www.klikindomaret.com
Sunsilk Shampoo Co-Creations Black Shine 680mL,Shampoo,80.400,80.400,0%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Fresh Cool Lemon 160mL,Shampoo,Rp 32.900,20.900,36%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Menthol Segar 70mL,Shampoo,15.200,15.200,0%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Fresh Apple 160mL,Shampoo,Rp 32.900,20.900,36%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Ice Cool Menthol Fresh 160mL,Shampoo,Rp 32.900,20.900,36%,www.klikindomaret.com
Tresemme Kondisioner Keratin Smooth New 170Ml,Kondisioner dan Masker,Rp 42.500,33.000,22%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Ice Cool Menthol 300mL,Shampoo,56.500,56.500,0%,www.klikindomaret.com
Clear Men Shampoo Anti Dandruff Cool Sport Menthol Fresh Active 160mL,Perawatan Rambut,Rp 32.900,20.900,36%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Complete Soft Care 160mL,Shampoo,Rp 32.900,20.900,36%,www.klikindomaret.com
Clear Shampoo Anti Dandruff Complete Soft Care 320mL,Shampoo,56.500,56.500,0%,www.klikindomaret.com
Tresemme Keratin Smooth Shampoo 170Ml,Shampoo,Rp 39.300,31.300,20%,www.klikindomaret.com
Tresemme Scalp Care Shampoo 170Ml,Shampoo,Rp 39.300,31.300,20%,www.klikindomaret.com
Sunsilk Shampoo Hijab Refresh 320Ml,Shampoo Perawatan,48.000,48.000,0%,www.klikindomaret.com
Sunsilk Konditioner Black Shine 160mL,Kondisioner dan Masker,32.600,32.600,0%,www.klikindomaret.com
Sunsilk Shampoo Black Shine 160mL,Shampoo Perawatan,26.900,26.900,0%,www.klikindomaret.com
Sunsilk Shampoo Soft & Smooth 320mL,Shampoo Perawatan,48.000,48.000,0%,www.klikindomaret.com
Sunsilk Shampoo Co-Creations Black Shine 70mL,Shampoo Perawatan,15.200,15.200,0%,www.klikindomaret.com
Sunsilk Konditioner Co-Creations Soft & Smooth 160mL,Kondisioner dan Masker,32.600,32.600,0%,www.klikindomaret.com
Sunsilk Shampoo Soft & Smooth 160mL,Shampoo Perawatan,26.900,26.900,0%,www.klikindomaret.com
Sunsilk Shampoo Black Shine 320mL,Shampoo Perawatan,48.000,48.000,0%,www.klikindomaret.com
Sunsilk Shampoo Hijab Refresh 160mL,Shampoo Perawatan,26.900,26.900,0%,www.klikindomaret.com
Lifebuoy Shampoo Anti Dandruff 70Ml,Shampoo Perawatan,14.800,14.800,0%,www.klikindomaret.com
Lifebuoy Shampoo Strong & Shiny 340Ml,Shampoo Kecantikan,47.000,47.000,0%,www.klikindomaret.com
Lifebuoy Shampoo Anti Dandruff 340Ml,Shampoo Perawatan,47.000,47.000,0%,www.klikindomaret.com
Lifebuoy Shampoo Anti Dandruff 170Ml,Shampoo Perawatan,26.900,26.900,0%,www.klikindomaret.com
Lifebuoy Shampoo Strong & Shiny 170Ml,Shampoo Kecantikan,26.900,26.900,0%,www.klikindomaret.com
Rinso Detergent Powder Matic Front Load 900G,Deterjen Bubuk,46.500,46.500,0%,www.klikindomaret.com
Rinso Detergen Liquid Matic Top Load 700mL,Deterjen Cair,25.300,25.300,0%,www.klikindomaret.com
Rinso Kapsul Matic Konsentrat 16's Lavender Fresh 168G,Deterjen Matic,Rp 49.900,34.900,30%,www.klikindomaret.com
Rinso Kapsul Matic Konsentrat Sakura Blossom 168g (isi 16),Deterjen,Rp 49.900,34.900,30%,www.klikindomaret.com
Molto Pelembut & Pewangi Pakaian Refill Morning Fresh 650mL,Pelicin & Pewangi Pakaian,Rp 29.500,15.900,46%,www.klikindomaret.com
Molto Eau De Parfum Luxury Parfum 650mL,Pelicin & Pewangi Pakaian,Rp 29.500,15.900,46%,www.klikindomaret.com
Molto Softener Pure 650mL,Pelicin & Pewangi Pakaian,Rp 29.500,15.900,46%,www.klikindomaret.com
Rinso Detergen Liquid Micellar Soft 700mL,Deterjen Cair,18.700,18.700,0%,www.klikindomaret.com
Molto Pelembut & Pewangi Pakaian Himalayan Honeysuckle 650mL,Pelicin & Pewangi Pakaian,23.000,23.000,0%,www.klikindomaret.com
Molto Pelembut & Pewangi Pakaian Casablanca Lily 650mL,Pelicin & Pewangi Pakaian,23.000,23.000,0%,www.klikindomaret.com
Rinso Detergen Powder Anti Noda + Molto Korean Strawberry 650g,Deterjen Bubuk,19.600,19.600,0%,www.klikindomaret.com
Rinso Deterjen Liquid + Molto Refill Rose Fresh 1.45L,Deterjen Cair,49.400,49.400,0%,www.klikindomaret.com
Rinso Deterjen Liquid + Molto Korean Strawberry 510mL,Deterjen Cair,14.900,14.900,0%,www.klikindomaret.com
Molto Pelembut & Pewangi Pakaian Korean Strawberry 650mL,Pelicin & Pewangi Pakaian,23.000,23.000,0%,www.klikindomaret.com
Rinso Deterjen Powder + Molto Rose Fresh 400g,Deterjen Bubuk,10.000,10.000,0%,www.klikindomaret.com
Rinso Deterjen Powder + Molto Perfume Essence 400g,Deterjen Bubuk,10.000,10.000,0%,www.klikindomaret.com
Molto Pelicin &Pewangi Pakaian Trika Flower Shower 400Ml,Perapi Pakaian,10.200,10.200,0%,www.klikindomaret.com
Molto Pelicin &Pewangi Pakaian Trika Floral Bliss 400Ml,Perapi Pakaian,10.200,10.200,0%,www.klikindomaret.com
Molto Pewangi Pakaian Sport Fresh Purple 780Ml,Pelicin & Pewangi Pakaian,16.800,16.800,0%,www.klikindomaret.com
Rinso Molto Detergent Cair Japanese Peach 510mL,Deterjen Cair,14.900,14.900,0%,www.klikindomaret.com
Rinso Deterjen Liquid + Molto Perfume Essence 1.65L,Deterjen Cair,49.400,49.400,0%,www.klikindomaret.com
Rinso Molto Deterjen Cair Royal Gold 510mL,Deterjen,14.900,14.900,0%,www.klikindomaret.com
Rinso Deterjen Powder + Molto Perfume Essence 1.8Kg,Deterjen Bubuk,Rp 59.900,39.900,33%,www.klikindomaret.com
Rinso Deterjen Powder + Molto Perfume Essence 650g,Deterjen Bubuk,27.300,27.300,0%,www.klikindomaret.com
Rinso Deterjen Powder + Molto Rose Fresh 1.6Kg,Deterjen,Rp 59.900,39.900,33%,www.klikindomaret.com
Rinso Deterjen Powder + Molto Rose Fresh 650G,Deterjen,27.300,27.300,0%,www.klikindomaret.com
Rinso Deterjen Liquid Front Load 1.6L,Deterjen Matic,71.900,71.900,0%,www.klikindomaret.com
Rinso Deterjen Cair Molto Perfume Essence 510mL,Deterjen,14.900,14.900,0%,www.klikindomaret.com
Molto Pewangi Pakaian Flower Shower Pink 780Ml,Pelicin & Pewangi Pakaian,16.800,16.800,0%,www.klikindomaret.com
Rinso Deterjen Liquid + Molto Refill Rose Fresh 700Ml,Deterjen,23.700,23.700,0%,www.klikindomaret.com
Molto Pewangi Pakaian Floral Bliss Blue 780Ml,Pelicin & Pewangi Pakaian,16.800,16.800,0%,www.klikindomaret.com
Rinso Kapsul Matic Konsentrat 4'S Sakura Blossom 42G,Deterjen,2,2,0%,www.klikindomaret.com
Vixal Pembersih Kamar Mandi Kuat Segar 600mL,Pembersih Lantai & Toilet,Rp 16.200,12.900,20%,www.klikindomaret.com
Sunlight Pencuci Piring Reffill Extra Lembut 625mL,Sabun Cuci Piring,Rp 14.900,10.500,30%,www.klikindomaret.com
Wipol Pembersih Lantai Citrus Fresh 450mL,Pembersih Lantai & Toilet,9.900,9.900,0%,www.klikindomaret.com
Lifebuoy Pencuci Piring Lime 680mL,Sabun Cuci Piring,Rp 9.900,6.900,30%,www.klikindomaret.com
Sunlight Pencuci Piring Korean Strawberry 560mL,Sabun Cuci Piring,Rp 14.900,10.500,30%,www.klikindomaret.com
Sunlight Pencuci Piring Habbatussauda 420mL,Sabun Cuci Piring,Rp 9.900,7.900,20%,www.klikindomaret.com
Super Pell Pembersih Lantai Anti-Bac Citrus 500mL,Pembersih Lantai,9.900,9.900,0%,www.klikindomaret.com
Sunlight Pencuci Piring Lime 420mL,Sabun Cuci Piring,Rp 9.900,7.900,20%,www.klikindomaret.com
Sunlight Pencuci Piring Lime 910mL,Sabun Cuci Piring,Rp 16.700,13.000,22%,www.klikindomaret.com
Sunlight Pencuci Piring Mint Anti Bau 650mL,Sabun Cuci Piring,Rp 14.900,10.500,30%,www.klikindomaret.com
Wipol Karbol Sereh & Jeruk 750Ml,Pembersih Lantai & Toilet,Rp 21.500,14.900,31%,www.klikindomaret.com
Sunlight Pencuci Piring Higienis Habbatussauda 650mL,Sabun Cuci Piring,Rp 14.900,10.500,30%,www.klikindomaret.com
Vixal Pembersih Porselin Green 750mL,Pembersih Lantai & Toilet,19.300,19.300,0%,www.klikindomaret.com
Sunlight Pencuci Piring Lime 400mL,Sabun Cuci Piring,25.700,25.700,0%,www.klikindomaret.com
Wipol Pembersih Lantai Classic Pine 750Ml,Pembersih Lantai & Toilet,33.700,33.700,0%,www.klikindomaret.com
Wipol Karbol Wangi Cemara 750Ml,Pembersih Lantai & Toilet,Rp 21.500,14.900,31%,www.klikindomaret.com
Super Pell Pembersih Lantai Refill Fresh Apple 770Ml,Pembersih Lantai & Toilet,16.700,16.700,0%,www.klikindomaret.com
Wipol Karbol Wangi Lemon 750Ml,Pembersih Lantai & Toilet,Rp 21.500,14.900,31%,www.klikindomaret.com
Sunlight Pencuci Piring Jeruk Nipis 650mL,Sabun Cuci Piring,Rp 14.900,10.500,30%,www.klikindomaret.com
Vixal Pembersih Keramik Pors Biru 750mL,Pembersih Lantai & Toilet,19.300,19.300,0%,www.klikindomaret.com
Super Pell Pembersih Lantai Refill Lemon Ginger 770Ml,Pembersih Lantai & Toilet,16.700,16.700,0%,www.klikindomaret.com
